"batch","path","status","error"
"admin-panel","admin-panel/pages/manage-languages/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-languages/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-movies/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-movies/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-offers/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-offers/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-orders/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-orders/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-pages/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-pages/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-permissions/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-posts/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-posts/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-products/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-products/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-profile-fields/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-profile-fields/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-reactions/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-reactions/form.phtml","pass",""
"admin-panel","admin-panel/pages/manage-reactions/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-reports/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-reports/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-reviews/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-reviews/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-site-ads/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-site-design/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-stickers/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-stickers/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-stories/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-stories/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-themes/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-third-psites/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-updates/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-user-ads/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-user-ads/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-users/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-users/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage-verification-reqeusts/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage-verification-reqeusts/list.phtml","pass",""
"admin-panel","admin-panel/pages/manage_emails/content.phtml","pass",""
"admin-panel","admin-panel/pages/manage_terms_pages/content.phtml","pass",""
"admin-panel","admin-panel/pages/mass-notifications/content.phtml","pass",""
"admin-panel","admin-panel/pages/mass-notifications/list.phtml","pass",""
"admin-panel","admin-panel/pages/node/content.phtml","pass",""
"admin-panel","admin-panel/pages/online-users/content.phtml","pass",""
"admin-panel","admin-panel/pages/pages-categories/content.phtml","pass",""
"admin-panel","admin-panel/pages/pages-categories/langs_list.phtml","pass",""
"admin-panel","admin-panel/pages/pages-categories/list.phtml","pass",""
"admin-panel","admin-panel/pages/pages-fields/content.phtml","pass",""
"admin-panel","admin-panel/pages/pages-fields/form.phtml","pass",""
"admin-panel","admin-panel/pages/pages-fields/list.phtml","pass",""
"admin-panel","admin-panel/pages/pages-sub-categories/content.phtml","pass",""
"admin-panel","admin-panel/pages/pages-sub-categories/langs_list.phtml","pass",""
"admin-panel","admin-panel/pages/pages-sub-categories/list.phtml","pass",""
"admin-panel","admin-panel/pages/payment-reqeuests/content.phtml","pass",""
"admin-panel","admin-panel/pages/payment-reqeuests/list.phtml","pass",""
"admin-panel","admin-panel/pages/payment-settings/content.phtml","pass",""
"admin-panel","admin-panel/pages/post-settings/content.phtml","pass",""
"admin-panel","admin-panel/pages/pro-features/content.phtml","pass",""
"admin-panel","admin-panel/pages/pro-memebers/content.phtml","pass",""
"admin-panel","admin-panel/pages/pro-memebers/list.phtml","pass",""
"admin-panel","admin-panel/pages/pro-payments/content.phtml","pass",""
"admin-panel","admin-panel/pages/pro-refund/content.phtml","pass",""
"admin-panel","admin-panel/pages/pro-refund/list.phtml","pass",""
"admin-panel","admin-panel/pages/pro-settings/content.phtml","pass",""
"admin-panel","admin-panel/pages/pro-settings/pro_form.phtml","pass",""
"admin-panel","admin-panel/pages/pro-settings/pro_model.phtml","pass",""
"admin-panel","admin-panel/pages/products-categories/content.phtml","pass",""
"admin-panel","admin-panel/pages/products-categories/list.phtml","pass",""
"admin-panel","admin-panel/pages/products-fields/content.phtml","pass",""
"admin-panel","admin-panel/pages/products-fields/form.phtml","pass",""
"admin-panel","admin-panel/pages/products-fields/list.phtml","pass",""
"admin-panel","admin-panel/pages/products-sub-categories/content.phtml","pass",""
"admin-panel","admin-panel/pages/products-sub-categories/langs_list.phtml","pass",""
"admin-panel","admin-panel/pages/products-sub-categories/list.phtml","pass",""
"admin-panel","admin-panel/pages/push-notifications-system/content.phtml","pass",""
"admin-panel","admin-panel/pages/referrals-list/content.phtml","pass",""
"admin-panel","admin-panel/pages/referrals-list/list.phtml","pass",""
"admin-panel","admin-panel/pages/send_email/content.phtml","pass",""
"admin-panel","admin-panel/pages/site-features/content.phtml","pass",""
"admin-panel","admin-panel/pages/site-settings/content.phtml","pass",""
"admin-panel","admin-panel/pages/social-login/content.phtml","pass",""
